Disease::DOID:0050156	idiopathic pulmonary fibrosis	特发性肺纤维化
Disease::MESH:D006517	Murine hepatitis virus	小鼠肝炎病毒
Disease::MESH:D006519	Hepatitis, Alcoholic	酒精性肝炎
Disease::MESH:D006521	Hepatitis, Chronic	肝炎，慢性
Disease::MESH:D006525	Hepatitis, Viral, Human	肝炎，病毒性，人
Disease::MESH:D006526	Hepatitis C	丙型肝炎
Disease::MESH:D006527	Hepatolenticular Degeneration	肝豆状核变性
Disease::MESH:D006528	Carcinoma, Hepatocellular	癌, 肝细胞
Disease::MESH:D006529	Hepatomegaly	肝肿大
Disease::MESH:D006530	Hepatorenal Syndrome	肝肾综合征
Disease::MESH:D006547	Hernia	疝
Disease::MESH:D006551	Hernia, Hiatal	疝，Hiatal
Disease::MESH:D006552	Hernia, Inguinal	腹股沟疝
Disease::MESH:D006555	Hernia, Ventral	疝气，腹侧
Disease::MESH:D006556	Heroin Dependence	海洛因依赖
Disease::MESH:D006558	Herpes Genitalis	生殖器疱疹
Disease::MESH:D006559	Pemphigoid Gestationis	类天疱疮妊娠
Disease::MESH:D006560	Herpes Labialis	唇疱疹
Disease::MESH:D006561	Herpes Simplex	单纯疱疹
Disease::MESH:D006562	Herpes Zoster	带状疱疹
Disease::MESH:D006563	Herpes Zoster Ophthalmicus	眼带状疱疹
Disease::MESH:D006566	Herpesviridae Infections	疱疹病毒科感染
Disease::MESH:D006606	Hiccup	打嗝
Disease::MESH:D006617	Hip Dislocation	髋关节脱位
Disease::MESH:D006618	Hip Dislocation, Congenital	髋关节脱位，先天性
Disease::MESH:D006620	Hip Fractures	髋部骨折
Disease::MESH:D006623	von Hippel-Lindau Disease	von Hippel-Lindau病
Disease::MESH:D006627	Hirschsprung Disease	先天性巨结肠病
Disease::MESH:D006628	Hirsutism	赫苏主义
Disease::MESH:D006646	Histiocytosis, Langerhans-Cell	组织细胞增生症，朗格汉斯细胞
Disease::MESH:D006660	Histoplasmosis	组织胞浆菌病
Disease::MESH:D006679	HIV Seropositivity	HIV血清阳性
Disease::MESH:D006689	Hodgkin Disease	霍奇金病
Disease::MESH:D006691	Classical Swine Fever	古典猪瘟
Disease::MESH:D006712	Homocystinuria	同胱氨酸尿症
Disease::MESH:D006725	Hookworm Infections	钩虫感染
Disease::MESH:D006726	Hordeolum	魂柱
Disease::MESH:D006760	Hospitalization	住院治疗
Disease::MESH:D006816	Huntington Disease	亨廷顿病
Disease::MESH:D006819	Hyaline Membrane Disease	透明质膜病
Disease::MESH:D006828	Hydatidiform Mole	氢化物摩尔
Disease::MESH:D006831	Polyhydramnios	羊水过多
Disease::MESH:D006832	Hydranencephaly	水脑畸形
Disease::MESH:D006849	Hydrocephalus	脑积水
Disease::MESH:D006850	Hydrocephalus, Normal Pressure	脑积水，正常压力
Disease::MESH:D006869	Hydronephrosis	肾积水
Disease::MESH:D006876	Hydrothorax	胸腔积液
Disease::MESH:D006925	Hymenolepiasis	膜瘤病
Disease::MESH:D006929	Hyperaldosteronism	醛固酮增多症
Disease::MESH:D006930	Hyperalgesia	痛觉过敏
Disease::MESH:D006932	Hyperbilirubinemia	高胆红素血症
Disease::MESH:D006933	Hyperbilirubinemia, Hereditary	遗传性高胆红素血症
Disease::MESH:D006934	Hypercalcemia	高钙血症
Disease::MESH:D006935	Hypercapnia	高碳酸血症
Disease::MESH:D006937	Hypercholesterolemia	高胆固醇血症
Disease::MESH:D006938	Hyperlipoproteinemia Type II	II型高脂蛋白血症
Disease::MESH:D006939	Hyperemesis Gravidarum	重度呕吐
Disease::MESH:D006940	Hyperemia	高血血症
Disease::MESH:D006941	Hyperesthesia	感觉过敏
Disease::MESH:D006942	Hypergammaglobulinemia	高丙种球蛋白血症
Disease::MESH:D006943	Hyperglycemia	高血糖
Disease::MESH:D006944	Hyperglycemic Hyperosmolar Nonketotic Coma	高血糖高渗性非酮症昏迷
Disease::MESH:D006945	Hyperhidrosis	多汗症
Disease::MESH:D006946	Hyperinsulinism	高胰岛素血症
Disease::MESH:D006947	Hyperkalemia	高钾血症
Disease::MESH:D006948	Hyperkinesis	运动亢进症
Disease::MESH:D006949	Hyperlipidemias	高血脂症
Disease::MESH:D006950	Hyperlipidemia, Familial Combined	高脂血症，家族性合并
Disease::MESH:D006951	Hyperlipoproteinemias	高脂蛋白血症
Disease::MESH:D006952	Hyperlipoproteinemia Type III	III型高脂蛋白血症
Disease::MESH:D006953	Hyperlipoproteinemia Type IV	IV型高脂蛋白血症
Disease::MESH:D006954	Hyperlipoproteinemia Type V	V型高脂蛋白血症
Disease::MESH:D006955	Hypernatremia	高钠血症
Disease::MESH:D006956	Hyperopia	远视症
Disease::MESH:D006959	Hyperoxaluria	高草酸尿症
Disease::MESH:D006960	Hyperoxaluria, Primary	高草酸尿症，原发性
Disease::MESH:D006961	Hyperparathyroidism	甲状旁腺功能亢进
Disease::MESH:D006962	Hyperparathyroidism, Secondary	甲状旁腺功能亢进，继发性
Disease::MESH:D006963	Hyperphagia	过度吞噬
Disease::MESH:D006964	Hyperpituitarism	垂体后叶增多症
Disease::MESH:D006965	Hyperplasia	增生
Disease::MESH:D006966	Hyperprolactinemia	高泌乳素血症
Disease::MESH:D006967	Hypersensitivity	超敏反应
Disease::MESH:D006969	Hypersensitivity, Immediate	超敏，立即
Disease::MESH:D006970	Disorders of Excessive Somnolence	过度嗜睡障碍
Disease::MESH:D006971	Hypersplenism	脾功能亢进
Disease::MESH:D006973	Hypertension	高血压
Disease::MESH:D006974	Hypertension, Malignant	高血压，恶性
Disease::MESH:D006976	Hypertension, Pulmonary	高血压，肺动脉
Disease::MESH:D006977	Hypertension, Renal	高血压，肾
Disease::MESH:D006978	Hypertension, Renovascular	高血压，肾血管
Disease::MESH:D006980	Hyperthyroidism	甲状腺机能亢进
Disease::MESH:D006981	Hyperthyroxinemia	高甲状腺素血症
Disease::MESH:D006983	Hypertrichosis	多毛症
Disease::MESH:D006984	Hypertrophy	肥大
Disease::MESH:D006985	Hyperventilation	过度通风
Disease::MESH:D006986	Hypervitaminosis A	维生素A过多症
Disease::MESH:D006987	Hypesthesia	催眠
Disease::MESH:D006988	Hyphema	催眠
Disease::MESH:D006994	Hypoaldosteronism	醛固酮减少症
Disease::MESH:D006995	Hypobetalipoproteinemias	低β脂蛋白血症
Disease::MESH:D006996	Hypocalcemia	低钙血症
Disease::MESH:D006998	Hypochondriasis	线粒体病
Disease::MESH:D007003	Hypoglycemia	低血糖
Disease::MESH:D007006	Hypogonadism	性腺功能减退
Disease::MESH:D007007	Hypohidrosis	少汗症
Disease::MESH:D007008	Hypokalemia	低钾血症
Disease::MESH:D007010	Hyponatremia	低钠血症
Disease::MESH:D007011	Hypoparathyroidism	甲状旁腺功能减退
Disease::MESH:D007014	Hypophosphatasia	低磷酸盐血症
Disease::MESH:D007015	Hypophosphatemia, Familial	低磷酸盐血症，家族性
Disease::MESH:D007016	Hypophysectomy	垂体切除术
Disease::MESH:D007018	Hypopituitarism	垂体功能减退症
Disease::MESH:D007019	Hypoproteinemia	低蛋白血症
Disease::MESH:D007020	Hypoprothrombinemias	低凝血酶原血症
Disease::MESH:D007021	Hypospadias	尿道下裂
Disease::MESH:D007022	Hypotension	低血压
Disease::MESH:D007024	Hypotension, Orthostatic	低血压，正压
Disease::MESH:D007027	Hypothalamic Diseases	下丘脑疾病
Disease::MESH:D007029	Hypothalamic Neoplasms	下丘脑肿瘤
Disease::MESH:D007035	Hypothermia	低温
Disease::MESH:D007037	Hypothyroidism	甲状腺机能减退
Disease::MESH:D007039	Hypotrichosis	少毛症
Disease::MESH:D007040	Hypoventilation	通气不足
Disease::MESH:D007057	Ichthyosis	鱼鳞病
Disease::MESH:D007077	Ileal Diseases	回肠疾病
Disease::MESH:D007078	Ileal Neoplasms	回肠肿瘤
Disease::MESH:D007079	Ileitis	伊莱提斯（Ileitis）
Disease::MESH:D007105	Immune Complex Diseases	免疫复合疾病
Disease::MESH:D007119	Immunoblastic Lymphadenopathy	免疫母细胞淋巴瘤
Disease::MESH:D007153	Immunologic Deficiency Syndromes	免疫缺陷综合征
Disease::MESH:D007154	Immune System Diseases	免疫系统疾病
Disease::MESH:D007169	Impetigo	Impetigo公司
Disease::MESH:D007172	Erectile Dysfunction	勃起功能障碍
Disease::MESH:D007174	Disruptive, Impulse Control, and Conduct Disorders	破坏性、冲动控制和行为障碍
Disease::MESH:D007177	Inappropriate ADH Syndrome	ADH不当综合征
Disease::MESH:D007184	Incontinentia Pigmenti	色素失禁
Disease::MESH:D007222	Inert Gas Narcosis	惰性气体麻醉
Disease::MESH:D007232	Infant, Newborn, Diseases	婴儿、新生儿、疾病
Disease::MESH:D007235	Infant, Premature, Diseases	婴儿、早产、疾病
Disease::MESH:D007238	Infarction	梗塞
Disease::MESH:D007239	Infections	传染
Disease::MESH:D007244	Infectious Mononucleosis	传染性单核细胞增多症
Disease::MESH:D007246	Infertility	不孕症
Disease::MESH:D007247	Infertility, Female	不孕，女性
Disease::MESH:D007248	Infertility, Male	不育，男性
Disease::MESH:D007249	Inflammation	发炎
Disease::MESH:D007251	Influenza, Human	流感，人
Disease::MESH:D007299	Insect Bites and Stings	昆虫咬伤和刺痛
Disease::MESH:D007319	Sleep Initiation and Maintenance Disorders	睡眠启动和维持障碍
Disease::MESH:D007333	Insulin Resistance	胰岛素抵抗
Disease::MESH:D007340	Insulinoma	胰岛素瘤
Disease::MESH:D007383	Intermittent Claudication	间歇性跛行
Disease::MESH:D007402	Intertrigo	Intertrigo公司
Disease::MESH:D007405	Intervertebral Disc Displacement	椎间盘移位
Disease::MESH:D007409	Intestinal Atresia	肠闭锁
Disease::MESH:D007410	Intestinal Diseases	肠道疾病
Disease::MESH:D007412	Intestinal Fistula	肠瘘
Disease::MESH:D007414	Intestinal Neoplasms	肠肿瘤
Disease::MESH:D007415	Intestinal Obstruction	肠梗阻
Disease::MESH:D007417	Intestinal Polyps	肠息肉
Disease::MESH:D007418	Intestinal Pseudo-Obstruction	肠假性梗阻
Disease::MESH:D007429	Intraocular Pressure	眼内压
Disease::MESH:D007443	Intussusception	肠套叠
Disease::MESH:D007499	Iris Diseases	虹膜疾病
Disease::MESH:D007500	Iritis	虹膜炎
Disease::MESH:D007508	Irritable Mood	烦躁情绪
Disease::MESH:D007511	Ischemia	缺血
Disease::MESH:D007516	Adenoma, Islet Cell	腺瘤，胰岛细胞
Disease::MESH:D007562	Creutzfeldt-Jakob Syndrome	Creutzfeldt-Jakob综合征
Disease::MESH:D007565	Jaundice	黄疸
Disease::MESH:D007566	Jaundice, Chronic Idiopathic	黄疸，慢性特发性黄疸
Disease::MESH:D007567	Jaundice, Neonatal	黄疸，新生儿
Disease::MESH:D007570	Jaw Cysts	颌囊肿
Disease::MESH:D007571	Jaw Diseases	颌疾病
Disease::MESH:D007579	Jejunal Diseases	空肠疾病
Disease::MESH:D007580	Jejunal Neoplasms	空肠肿瘤
Disease::MESH:D007589	Job Syndrome	工作综合症
Disease::MESH:D007592	Joint Diseases	关节疾病
Disease::MESH:D007593	Joint Instability	节理不稳定性
Disease::MESH:D007617	Kaposi Varicelliform Eruption	卡波西水痘疹
Disease::MESH:D007619	Kartagener Syndrome	Kartagener综合征
Disease::MESH:D007625	Kearns-Sayre Syndrome	Kearns-Sayre综合征
Disease::MESH:D007627	Keloid	Keloid公司
Disease::MESH:D007634	Keratitis	角膜炎
Disease::MESH:D007635	Keratitis, Dendritic	角膜炎，树突状
Disease::MESH:D007636	Keratoacanthoma	角质瘤
Disease::MESH:D007637	Keratoconjunctivitis	角膜结膜炎
Disease::MESH:D007638	Keratoconjunctivitis Sicca	西西里角结膜炎
Disease::MESH:D007639	Keratoconjunctivitis, Infectious	角膜结膜炎，传染性
Disease::MESH:D007640	Keratoconus	角锥虫属
Disease::MESH:D007642	Keratosis	角变性
Disease::MESH:D007644	Darier Disease	Darier病
Disease::MESH:D007645	Keratoderma, Palmoplantar	角质瘤，掌跖
Disease::MESH:D007647	Kernicterus	克尼卡特斯（Kernicterus）
Disease::MESH:D007662	Ketosis	酮症
Disease::MESH:D007669	Kidney Calculi	肾脏结石
Disease::MESH:D007673	Kidney Cortex Necrosis	肾皮质坏死
Disease::MESH:D007674	Kidney Diseases	肾脏疾病
Disease::MESH:D007676	Kidney Failure, Chronic	肾衰竭，慢性
Disease::MESH:D007680	Kidney Neoplasms	肾脏肿瘤
Disease::MESH:D007681	Kidney Papillary Necrosis	肾乳头坏死
Disease::MESH:D007683	Kidney Tubular Necrosis, Acute	肾小管坏死，急性
Disease::MESH:D007690	Polycystic Kidney Diseases	多囊肾病
Disease::MESH:D007691	Medullary Sponge Kidney	髓质海绵肾
Disease::MESH:D007706	Menkes Kinky Hair Syndrome	Menkes Kinky Hair综合征
Disease::MESH:D007710	Klebsiella Infections	克雷伯菌感染
Disease::MESH:D007713	Klinefelter Syndrome	Klinefelter综合征
Disease::MESH:D007714	Klippel-Feil Syndrome	Klippel-Feil综合征
Disease::MESH:D007715	Klippel-Trenaunay-Weber Syndrome	Klippel-Trenaunay-Weber综合征
Disease::MESH:D007718	Knee Injuries	膝盖受伤
Disease::MESH:D007724	Vulvar Lichen Sclerosus	外阴硬化性苔藓
Disease::MESH:D007732	Kwashiorkor	夸希奥尔
Disease::MESH:D007738	Kyphosis	后凸畸形
Disease::MESH:D007752	Obstetric Labor, Premature	产科分娩，早产
Disease::MESH:D007757	Laboratory Infection	实验室感染
Disease::MESH:D007759	Labyrinth Diseases	迷路疾病
Disease::MESH:D007766	Lacrimal Apparatus Diseases	泪器疾病
Disease::MESH:D007775	Lactation Disorders	泌乳障碍
Disease::MESH:D007787	Lactose Intolerance	乳糖不耐受
Disease::MESH:D007794	Lameness, Animal	跛行，动物
Disease::MESH:D007805	Language Development Disorders	语言发展障碍
Disease::MESH:D007806	Language Disorders	语言障碍
Disease::MESH:D007815	Larva Migrans	幼虫迁徙
Disease::MESH:D007818	Laryngeal Diseases	喉疾病
Disease::MESH:D007822	Laryngeal Neoplasms	喉肿瘤
Disease::MESH:D007826	Laryngismus	喉肌
Disease::MESH:D007827	Laryngitis	喉炎
Disease::MESH:D007829	Laryngostenosis	喉狭窄
Disease::MESH:D007835	Lassa Fever	拉萨热
Disease::MESH:D007842	Lathyrism	Lathyrism（拉丁语）
Disease::MESH:D007845	Laughter	笑
Disease::MESH:D007855	Lead Poisoning	铅中毒
Disease::MESH:D007859	Learning Disabilities	学习障碍
Disease::MESH:D007863	Lecithin Cholesterol Acyltransferase Deficiency	卵磷脂胆固醇酰基转移酶缺乏
Disease::MESH:D007869	Leg Injuries	腿部受伤
Disease::MESH:D007870	Leg Length Inequality	腿长不等式
Disease::MESH:D007871	Leg Ulcer	腿部溃疡
Disease::MESH:D007873	Legg-Calve-Perthes Disease	Legg Calve Perthes病
Disease::MESH:D007876	Legionellosis	军团菌病
Disease::MESH:D007877	Legionnaires' Disease	军团病
Disease::MESH:D007888	Leigh Disease	Leigh病
Disease::MESH:D007889	Leiomyoma	平滑肌瘤
Disease::MESH:D007890	Leiomyosarcoma	平滑肌肉瘤
Disease::MESH:D007896	Leishmaniasis	利什曼病
Disease::MESH:D007897	Leishmaniasis, Mucocutaneous	利什曼病，粘膜皮肤
Disease::MESH:D007898	Leishmaniasis, Visceral	利什曼病，内脏
Disease::MESH:D007905	Lens Diseases	晶状体疾病
Disease::MESH:D007911	Lentigo	伦提戈
Disease::MESH:D007918	Leprosy	麻风
Disease::MESH:D007922	Leptospirosis	钩端螺旋体病
Disease::MESH:D007925	Leriche Syndrome	Leriche综合征
Disease::MESH:D007926	Lesch-Nyhan Syndrome	Lesch Nyhan综合征
Disease::MESH:D007938	Leukemia	白血病
Disease::MESH:D007939	Leukemia L1210	白血病L1210
Disease::MESH:D007941	Leukemia P388	白血病P388
Disease::MESH:D007943	Leukemia, Hairy Cell	白血病，毛细胞
Disease::MESH:D007945	Leukemia, Lymphoid	白血病，淋巴瘤
Disease::MESH:D007946	Leukemia, Mast-Cell	白血病，肥大细胞
Disease::MESH:D007947	Leukemia, Megakaryoblastic, Acute	急性巨核细胞白血病
Disease::MESH:D007948	Leukemia, Monocytic, Acute	急性单核细胞白血病
Disease::MESH:D007951	Leukemia, Myeloid	白血病，髓系
Disease::MESH:D007952	Leukemia, Plasma Cell	白血病，浆细胞
Disease::MESH:D007960	Leukocyte Disorders	白细胞疾病
Disease::MESH:D007964	Leukocytosis	白细胞增多症
Disease::MESH:D007965	Leukodystrophy, Globoid Cell	白质营养不良，球状细胞
Disease::MESH:D007966	Leukodystrophy, Metachromatic	白质营养不良，变色
Disease::MESH:D007967	Leukoedema, Oral	白水肿，口服
Disease::MESH:D007968	Leukoencephalopathy, Progressive Multifocal	白质脑病，进行性多灶性
Disease::MESH:D007969	Leukomalacia, Periventricular	白血病，脑室周围
Disease::MESH:D007970	Leukopenia	白细胞减少症
Disease::MESH:D007971	Leukoplakia	白斑病
Disease::MESH:D007972	Leukoplakia, Oral	白斑，口腔
Disease::MESH:D007973	Leukorrhea	白血病
Disease::MESH:D007984	Leydig Cell Tumor	间质细胞瘤
Disease::MESH:D008010	Lichen Planus	扁平苔藓
Disease::MESH:D008059	Mucopolysaccharidosis I	粘多糖病I
Disease::MESH:D008060	Lipodystrophy	脂肪营养不良
Disease::MESH:D008061	Whipple Disease	惠普尔病
Disease::MESH:D008064	Lipidoses	脂质剂量
Disease::MESH:D008065	Lipoid Proteinosis of Urbach and Wiethe	Urbach和Wiethe类脂蛋白病
Disease::MESH:D008067	Lipoma	脂肪瘤
Disease::MESH:D008068	Lipomatosis	脂肪瘤病
Disease::MESH:D008072	Hyperlipoproteinemia Type I	I型高脂蛋白血症
Disease::MESH:D008080	Liposarcoma	脂肪肉瘤
Disease::MESH:D008088	Listeriosis	李斯特菌病
Disease::MESH:D008100	Liver Abscess	肝脓肿
Disease::MESH:D008101	Liver Abscess, Amebic	肝脓肿，阿米巴
Disease::MESH:D008103	Liver Cirrhosis	肝硬化
Disease::MESH:D008104	Liver Cirrhosis, Alcoholic	肝硬化，酒精中毒
Disease::MESH:D008105	Liver Cirrhosis, Biliary	肝硬化，胆汁性
Disease::MESH:D008107	Liver Diseases	肝脏疾病
Disease::MESH:D008108	Liver Diseases, Alcoholic	肝病，酒精性
Disease::MESH:D008113	Liver Neoplasms	肝脏肿瘤
Disease::MESH:D008114	Liver Neoplasms, Experimental	肝脏肿瘤，实验性
Disease::MESH:D008118	Loiasis	卢瓦西斯
Disease::MESH:D008133	Long QT Syndrome	长QT综合征
Disease::MESH:D008141	Lordosis	洛多斯
Disease::MESH:D008169	Lung Abscess	肺脓肿
Disease::MESH:D008171	Lung Diseases	肺部疾病
Disease::MESH:D008172	Lung Diseases, Fungal	肺部疾病，真菌
Disease::MESH:D008173	Lung Diseases, Obstructive	肺部疾病，阻塞性
Disease::MESH:D008175	Lung Neoplasms	肺肿瘤
Disease::MESH:D008177	Lupus Vulgaris	寻常型狼疮
Disease::MESH:D008178	Lupus Erythematosus, Cutaneous	红斑狼疮，皮肤性
Disease::MESH:D008179	Lupus Erythematosus, Discoid	红斑狼疮，盘状
Disease::MESH:D008180	Lupus Erythematosus, Systemic	红斑狼疮，系统性
Disease::MESH:D008181	Lupus Nephritis	狼疮性肾炎
Disease::MESH:D008193	Lyme Disease	莱姆病
Disease::MESH:D008199	Lymphadenitis	淋巴腺炎
Disease::MESH:D008201	Lymphangiectasis, Intestinal	淋巴管扩张，肠道
Disease::MESH:D008202	Lymphangioma	淋巴管瘤
Disease::MESH:D008204	Lymphangiosarcoma	淋巴血管肉瘤
Disease::MESH:D008206	Lymphatic Diseases	淋巴系统疾病
Disease::MESH:D008209	Lymphedema	淋巴水肿
Disease::MESH:D008216	Lymphocytic Choriomeningitis	淋巴细胞性脉络膜炎
Disease::MESH:D008218	Lymphocytosis	淋巴细胞增多症
Disease::MESH:D008219	Lymphogranuloma Venereum	Venereum淋巴瘤
Disease::MESH:D008223	Lymphoma	淋巴瘤
Disease::MESH:D008224	Lymphoma, Follicular	淋巴瘤，滤泡
Disease::MESH:D008228	Lymphoma, Non-Hodgkin	淋巴瘤,非霍奇金
Disease::MESH:D008230	Lymphomatoid Granulomatosis	淋巴瘤样肉芽肿病
Disease::MESH:D008231	Lymphopenia	淋巴瘤
Disease::MESH:D008232	Lymphoproliferative Disorders	淋巴增殖性疾病
Disease::MESH:D008258	Waldenstrom Macroglobulinemia	Waldenstrom巨球蛋白血症
Disease::MESH:D008268	Macular Degeneration	黄斑变性
Disease::MESH:D008269	Macular Edema	黄斑水肿
Disease::MESH:D008271	Mycetoma	Mycetoma公司
Disease::MESH:D008275	Magnesium Deficiency	镁缺乏症
Disease::MESH:D008286	Malabsorption Syndromes	吸收不良综合征
Disease::MESH:D008287	Malacoplakia	马拉科普拉基亚
Disease::MESH:D008288	Malaria	疟疾
Disease::MESH:D008303	Malignant Carcinoid Syndrome	恶性类癌综合征
Disease::MESH:D008305	Malignant Hyperthermia	恶性高热
Disease::MESH:D008309	Mallory-Weiss Syndrome	Mallory-Weiss综合征
Disease::MESH:D008311	Malocclusion, Angle Class I	咬合不良，角度I级
Disease::MESH:D008363	alpha-Mannosidosis	α-甘露糖苷酶
Disease::MESH:D008368	Mansonelliasis	曼索尼利亚病
Disease::MESH:D008375	Maple Syrup Urine Disease	枫糖浆尿病
Disease::MESH:D008380	Marek Disease	马雷克病
Disease::MESH:D008382	Marfan Syndrome	马凡综合征
Disease::MESH:D008413	Mastitis	乳腺炎
Disease::MESH:D008415	Mastocytosis	肥大细胞增多症
Disease::MESH:D008417	Mastoiditis	乳腺炎
Disease::MESH:D008439	Maxillary Diseases	上颌疾病
Disease::MESH:D008444	Maxillary Sinus Neoplasms	上颌窦肿瘤
Disease::MESH:D008457	Measles	麻疹
Disease::MESH:D008471	Meconium Aspiration Syndrome	胎粪吸入综合征
Disease::MESH:D008479	Mediastinal Neoplasms	纵隔肿瘤
Disease::MESH:D008480	Mediastinitis	纵隔炎
Disease::MESH:D008527	Medulloblastoma	髓母细胞瘤
Disease::MESH:D008532	Megacolon, Toxic	巨结肠，有毒
Disease::MESH:D008538	Meige Syndrome	Meige综合征
Disease::MESH:D008545	Melanoma	黑色素瘤
Disease::MESH:D008546	Melanoma, Experimental	黑色素瘤，实验性
Disease::MESH:D008548	Melanosis	黑色素沉着症
Disease::MESH:D008554	Melioidosis	Meliotoid病
Disease::MESH:D008556	Melkersson-Rosenthal Syndrome	Melkersson Rosenthal综合征
Disease::MESH:D008557	Melorheostosis	皮肤流变性硬化
Disease::MESH:D008569	Memory Disorders	记忆障碍
Disease::MESH:D008575	Meniere Disease	梅尼埃病
Disease::MESH:D008577	Meningeal Neoplasms	脑膜肿瘤
Disease::MESH:D008579	Meningioma	脑膜瘤
Disease::MESH:D008581	Meningitis	脑膜炎
Disease::MESH:D008582	Meningitis, Aseptic	脑膜炎，无菌
Disease::MESH:D008583	Meningitis, Haemophilus	脑膜炎，嗜血杆菌
Disease::MESH:D008584	Meningitis, Listeria	脑膜炎，李斯特菌
Disease::MESH:D008585	Meningitis, Meningococcal	脑膜炎，脑膜炎球菌
Disease::MESH:D008586	Meningitis, Pneumococcal	脑膜炎，肺炎球菌
Disease::MESH:D008587	Meningitis, Viral	脑膜炎，病毒性
Disease::MESH:D008589	Meningococcal Infections	脑膜炎球菌感染
Disease::MESH:D008590	Meningoencephalitis	脑膜脑炎
Disease::MESH:D008591	Meningomyelocele	脑膜脊髓囊肿
Disease::MESH:D008594	Menopause, Premature	更年期，早产
Disease::MESH:D008595	Menorrhagia	月经失调
Disease::MESH:D008599	Menstruation Disturbances	月经紊乱
Disease::MESH:D008607	Intellectual Disability	智力残疾
Disease::MESH:D008630	Mercury Poisoning	汞中毒
Disease::MESH:D008654	Mesothelioma	间皮瘤
Disease::MESH:D008659	Metabolic Diseases	代谢性疾病
Disease::MESH:D008661	Metabolism, Inborn Errors	代谢，先天性错误
Disease::MESH:D008679	Metaplasia	变质作用
Disease::MESH:D008708	Methemoglobinemia	高铁血红蛋白血症
Disease::MESH:D008796	Metrorrhagia	子宫出血
Disease::MESH:D008831	Microcephaly	小头畸形
Disease::MESH:D008850	Microphthalmos	小眼球
Disease::MESH:D008881	Migraine Disorders	偏头痛障碍
Disease::MESH:D008883	Miliaria	米利亚里亚
Disease::MESH:D008924	Mite Infestations	螨感染
Disease::MESH:D008944	Mitral Valve Insufficiency	二尖瓣功能不全
Disease::MESH:D008945	Mitral Valve Prolapse	二尖瓣脱垂
Disease::MESH:D008946	Mitral Valve Stenosis	二尖瓣狭窄
Disease::MESH:D008947	Mixed Connective Tissue Disease	混合结缔组织病
Disease::MESH:D008949	Adenoma, Pleomorphic	腺瘤，多形性
Disease::MESH:D008976	Molluscum Contagiosum	传染性软体动物
Disease::MESH:D008998	Monoclonal Gammopathy of Undetermined Significance	意义不明的单克隆性伽马病
Disease::MESH:D009021	Morphine Dependence	吗啡依赖
Disease::MESH:D009041	Motion Sickness	运动病
Disease::MESH:D009050	Fluorosis, Dental	氟中毒, 牙
Disease::MESH:D009057	Stomatognathic Diseases	口颌疾病
Disease::MESH:D009059	Mouth Diseases	口腔疾病
Disease::MESH:D009062	Mouth Neoplasms	口腔肿瘤
Disease::MESH:D009069	Movement Disorders	运动障碍
Disease::MESH:D009072	Moyamoya Disease	Moyamoya病
Disease::MESH:D009078	Mucocele	粘液囊肿
Disease::MESH:D009080	Mucocutaneous Lymph Node Syndrome	粘膜皮肤淋巴结综合征
Disease::MESH:D009081	Mucolipidoses	粘脂剂
Disease::MESH:D009083	Mucopolysaccharidoses	粘多糖酶类
Disease::MESH:D009084	Mucopolysaccharidosis III	粘多糖病III
Disease::MESH:D009085	Mucopolysaccharidosis IV	粘多糖病IV
Disease::MESH:D009087	Mucopolysaccharidosis VI	粘多糖病VI
Disease::MESH:D009091	Mucormycosis	毛霉菌病
Disease::MESH:D009100	Multiple Carboxylase Deficiency	多重羧化酶缺乏
Disease::MESH:D009101	Multiple Myeloma	多发性骨髓瘤
Disease::MESH:D009102	Multiple Organ Failure	多器官衰竭
Disease::MESH:D009103	Multiple Sclerosis	多发性硬化
Disease::MESH:D009104	Multiple Trauma	多发性创伤
Disease::MESH:D009105	Dissociative Identity Disorder	分离性身份障碍
Disease::MESH:D009107	Mumps	流行性腮腺炎
Disease::MESH:D009119	Muscle Contraction	肌肉收缩
Disease::MESH:D009120	Muscle Cramp	肌肉痉挛
Disease::MESH:D009122	Muscle Hypertonia	肌张力过强
Disease::MESH:D009123	Muscle Hypotonia	肌张力过低
Disease::MESH:D009127	Muscle Rigidity	肌肉刚性
Disease::MESH:D009128	Muscle Spasticity	肌肉痉挛
Disease::MESH:D009133	Muscular Atrophy	肌肉萎缩
Disease::MESH:D009134	Muscular Atrophy, Spinal	肌肉萎缩，脊柱
Disease::MESH:D009135	Muscular Diseases	肌肉疾病
Disease::MESH:D009136	Muscular Dystrophies	肌肉营养不良
Disease::MESH:D009139	Musculoskeletal Abnormalities	肌肉骨骼畸形
Disease::MESH:D009140	Musculoskeletal Diseases	肌肉骨骼系统疾病
Disease::MESH:D009145	Mushroom Poisoning	蘑菇中毒
Disease::MESH:D009155	Mutism	互斥
Disease::MESH:D009157	Myasthenia Gravis	重症肌无力
Disease::MESH:D009164	Mycobacterium Infections	分枝杆菌感染
Disease::MESH:D009165	Mycobacterium Infections, Nontuberculous	分枝杆菌感染，非结核性
Disease::MESH:D009175	Mycoplasma Infections	支原体感染
Disease::MESH:D009181	Mycoses	真菌属
Disease::MESH:D009182	Mycosis Fungoides	真菌样真菌病
Disease::MESH:D009187	Myelitis	髓膜炎
Disease::MESH:D009188	Myelitis, Transverse	脊髓炎，横向
Disease::MESH:D009190	Myelodysplastic Syndromes	骨髓增生异常综合征
